date,nav
2009-01-27,37.6620
2009-01-28,38.2840
2009-01-29,38.1740
2009-01-30,38.4430
2009-02-02,37.6100
2009-02-03,37.6780
2009-02-04,37.7450
2009-02-05,37.6070
2009-02-06,38.1030
2009-02-09,39.0780
2009-02-10,39.3610
2009-02-11,39.2900
2009-02-12,39.0960
2009-02-13,39.5330
2009-02-16,38.5060
2009-02-17,37.6400
2009-02-18,37.4240
2009-02-19,37.3820
2009-02-20,36.8040
2009-02-24,36.3650
2009-02-25,36.5370
2009-02-26,36.4440
2009-02-27,36.4290
2009-03-02,35.6500
2009-03-03,35.0010
2009-03-04,34.9060
2009-03-05,34.1480
2009-03-06,34.3310
2009-03-09,33.7710
2009-03-12,34.2730
2009-03-13,35.1520
2009-03-16,35.9720
2009-03-17,35.9330
2009-03-18,36.3600
2009-03-19,36.4860
2009-03-20,36.1940
2009-03-23,37.4180
2009-03-24,37.3880
2009-03-25,37.5150
2009-03-26,38.5130
2009-03-27,39.0030
2009-03-30,38.0790
2009-03-31,38.7300
2009-04-01,39.0150
2009-04-02,40.0040
2009-04-06,40.3780
2009-04-08,41.1910
2009-04-09,41.6030
2009-04-13,42.4170
2009-04-15,43.9630
2009-04-16,43.0540
2009-04-17,43.4970
2009-04-20,43.5830
2009-04-21,43.2610
2009-04-22,43.1860
2009-04-23,43.6320
2009-04-24,44.3520
2009-04-27,44.2860
2009-04-28,43.1580
2009-04-29,44.1310
2009-05-04,46.0830
2009-05-05,45.9810
2009-05-06,45.2910
2009-05-07,46.4820
2009-05-08,45.8300
2009-05-11,45.6500
2009-05-12,46.6570
2009-05-13,46.4980
2009-05-14,46.0760
2009-05-15,46.8860
2009-05-19,53.2810
2009-05-20,54.1690
2009-05-21,54.1000
2009-05-22,54.9680
2009-05-25,55.9310
2009-05-26,54.3510
2009-05-27,56.0240
2009-05-28,56.3110
2009-05-29,56.9820
2009-06-01,57.3960
2009-06-02,57.7730
2009-06-03,58.5040
2009-06-04,59.1440
2009-06-05,58.9640
2009-06-08,57.3350
2009-06-09,58.4030
2009-06-10,59.3400
2009-06-11,59.0620
2009-06-12,58.0810
2009-06-15,57.4300
2009-06-16,58.2060
2009-06-17,56.4540
2009-06-18,55.7380
2009-06-19,56.5410
2009-06-22,55.8910
2009-06-23,55.9200
2009-06-24,56.7300
2009-06-25,56.5670
2009-06-26,57.5800
2009-06-29,58.2160
2009-06-30,57.2190
2009-07-01,57.7560
2009-07-02,58.0910
2009-07-03,58.9110
2009-07-06,56.0160
2009-07-07,56.6480
2009-07-08,55.6780
2009-07-09,55.8160
2009-07-10,54.6610
2009-07-13,54.0980
2009-07-14,55.4590
2009-07-15,56.7510
2009-07-16,57.1250
2009-07-17,59.1780
2009-07-20,59.8230
2009-07-21,59.6010
2009-07-22,58.9140
2009-07-23,59.9090
2009-07-24,60.5750
2009-07-27,60.9110
2009-07-28,60.9670
2009-07-29,60.4800
2009-07-30,61.1710
2009-07-31,61.7620
2009-08-03,62.3930
2009-08-04,62.1270
2009-08-05,62.4110
2009-08-06,61.3620
2009-08-07,60.4170
2009-08-10,59.2800
2009-08-11,59.3710
2009-08-12,59.6380
2009-08-13,61.3420
2009-08-14,61.4420
2009-08-17,59.2490
2009-08-18,60.1400
2009-08-19,59.5400
2009-08-20,60.2550
2009-08-21,61.2410
2009-08-24,62.3060
2009-08-25,62.1430
2009-08-26,62.9000
2009-08-27,63.1170
2009-08-28,63.6260
2009-08-31,63.2130
2009-09-01,62.6370
2009-09-02,62.6370
2009-09-03,62.5970
2009-09-04,63.1900
2009-09-07,64.7660
2009-09-08,65.0610
2009-09-09,64.5550
2009-09-10,64.6600
2009-09-11,64.6860
2009-09-14,64.6340
2009-09-15,65.7480
2009-09-16,66.1980
2009-09-17,66.2270
2009-09-18,66.3320
2009-09-22,66.8320
2009-09-23,66.3600
2009-09-24,66.6690
2009-09-25,67.3260
2009-09-29,67.6180
2009-09-30,68.4700
2009-10-01,68.5870
2009-10-05,67.8810
2009-10-06,68.0040
2009-10-07,68.0770
2009-10-08,68.3980
2009-10-09,68.3200
2009-10-12,69.6810
2009-10-14,70.6650
2009-10-15,70.5480
2009-10-16,71.1790
2009-10-20,70.9490
2009-10-21,69.7160
2009-10-22,68.9790
2009-10-23,69.3020
2009-10-26,69.1750
2009-10-27,67.4360
2009-10-28,67.4090
2009-10-29,67.1170
2009-10-30,66.8590
2009-11-03,65.4150
2009-11-04,66.7640
2009-11-05,67.3780
2009-11-06,68.4060
2009-11-09,69.6520
2009-11-10,69.7300
2009-11-11,70.7680
2009-11-12,70.0390
2009-11-13,70.9230
2009-11-16,71.7070
2009-11-17,71.6980
2009-11-18,71.2690
2009-11-19,70.3240
2009-11-20,71.0570
2009-11-23,71.7000
2009-11-24,71.3770
2009-11-25,71.9150
2009-11-26,70.8970
2009-11-27,70.0350
2009-11-30,70.7750
2009-12-01,72.2040
2009-12-02,72.1390
2009-12-03,72.3890
2009-12-04,72.3610
2009-12-07,72.1100
2009-12-08,72.7820
2009-12-09,72.4260
2009-12-10,72.7130
2009-12-11,72.0610
2009-12-14,72.1010
2009-12-15,71.1670
2009-12-16,71.0760
2009-12-17,71.7090
2009-12-18,70.8900
2009-12-21,70.8700
2009-12-22,71.3980
2009-12-23,72.4060
2009-12-24,72.8410
2009-12-29,72.8620
2009-12-30,72.6450
2009-12-31,72.9980
2010-01-04,73.6950
2010-01-05,74.4450
2010-01-06,74.7390
2010-01-07,74.2360
2010-01-08,73.9850
2010-01-11,74.4710
2010-01-12,74.2010
2010-01-13,74.5750
2010-01-14,75.1010
2010-01-15,74.6340
2010-01-18,75.0860
2010-01-19,74.2070
2010-01-20,74.0910
2010-01-21,72.3260
2010-01-22,71.9700
2010-01-25,71.4770
2010-01-27,69.4270
2010-01-28,69.9360
2010-01-29,70.7590
2010-02-01,71.6080
2010-02-02,71.0410
2010-02-03,71.9180
2010-02-04,70.9660
2010-02-05,69.4120
2010-02-08,70.1020
2010-02-09,70.3760
2010-02-10,70.0740
2010-02-11,70.4320
2010-02-15,70.1480
2010-02-16,70.8120
2010-02-17,71.0600
2010-02-18,70.9330
2010-02-19,70.3000
2010-02-22,70.1360
2010-02-23,70.0600
2010-02-24,69.7430
2010-02-25,69.7470
2010-02-26,70.2600
2010-03-02,71.5290
2010-03-03,72.3610
2010-03-04,72.7270
2010-03-05,72.9640
2010-03-08,73.5040
2010-03-09,73.3230
2010-03-10,73.1310
2010-03-11,73.2940
2010-03-12,73.3540
2010-03-15,72.8800
2010-03-16,73.6210
2010-03-17,73.9330
2010-03-18,74.0420
2010-03-19,73.9670
2010-03-22,73.3880
2010-03-23,73.5130
2010-03-25,73.6230
2010-03-26,74.2910
2010-03-29,74.5150
2010-03-30,74.5040
2010-03-31,74.5080
2010-04-01,75.3130
2010-04-05,76.1590
2010-04-06,76.2040
2010-04-07,76.6050
2010-04-08,75.8940
2010-04-09,76.6170
2010-04-12,76.4630
2010-04-13,76.2520
2010-04-15,75.6570
2010-04-16,75.5240
2010-04-19,75.0980
2010-04-20,75.5450
2010-04-21,75.9880
2010-04-22,76.1570
2010-04-23,76.4380
2010-04-26,76.4110
2010-04-27,76.4760
2010-04-28,75.8940
2010-04-29,76.1880
2010-04-30,76.7680
2010-05-03,76.1910
2010-05-04,75.4350
2010-05-05,75.5300
2010-05-06,75.4060
2010-05-07,74.2040
2010-05-10,75.5700
2010-05-11,74.9290
2010-05-12,75.3900
2010-05-13,76.3210
2010-05-14,75.8210
2010-05-17,75.5570
2010-05-18,75.8090
2010-05-19,73.9830
2010-05-20,74.7340
2010-05-21,74.1750
2010-05-24,74.1540
2010-05-25,72.7280
2010-05-26,73.9480
2010-05-27,75.3960
2010-05-28,76.2850
2010-05-31,76.8050
2010-06-01,76.1290
2010-06-02,76.6450
2010-06-03,77.8870
2010-06-04,78.1670
2010-06-07,76.7970
2010-06-08,76.0920
2010-06-09,76.5910
2010-06-10,77.4090
2010-06-11,77.4080
2010-06-14,78.3710
2010-06-15,78.2110
2010-06-16,78.8220
2010-06-17,79.2020
2010-06-18,78.6510
2010-06-21,79.5220
2010-06-22,79.5180
2010-06-23,80.0060
2010-06-24,80.2240
2010-06-25,80.1940
2010-06-28,81.1130
2010-06-29,80.5050
2010-06-30,81.2630
2010-07-01,80.7780
2010-07-02,80.5830
2010-07-05,80.4840
2010-07-06,81.1650
2010-07-07,80.8340
2010-07-08,81.7700
2010-07-09,82.3770
2010-07-12,82.4160
2010-07-13,82.7330
2010-07-14,82.6850
2010-07-15,82.0100
2010-07-16,82.4790
2010-07-19,82.4880
2010-07-20,82.0100
2010-07-21,82.3940
2010-07-22,83.0360
2010-07-23,82.9490
2010-07-26,82.5140
2010-07-27,82.4510
2010-07-28,82.5320
2010-07-29,82.8670
2010-07-30,82.6420
2010-08-02,83.6830
2010-08-03,84.0790
2010-08-04,84.3640
2010-08-05,84.0080
2010-08-06,84.1900
2010-08-09,84.8610
2010-08-10,84.3010
2010-08-11,84.1500
2010-08-12,84.4100
2010-08-13,84.9050
2010-08-16,84.3890
2010-08-17,84.8390
2010-08-18,85.7910
2010-08-19,86.5830
2010-08-20,86.3040
2010-08-23,87.2920
2010-08-24,86.6460
2010-08-25,86.0520
2010-08-26,86.8300
2010-08-27,86.1360
2010-08-30,86.1460
2010-08-31,85.9970
2010-09-01,87.0020
2010-09-02,87.3070
2010-09-03,87.7970
2010-09-06,89.2480
2010-09-07,89.4070
2010-09-08,89.5690
2010-09-09,89.8820
2010-09-13,91.4640
2010-09-14,91.5530
2010-09-15,91.8280
2010-09-16,91.1720
2010-09-17,91.9240
2010-09-20,92.8720
2010-09-21,92.6410
